name,price,description,asin,product_description,manufacturer
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399","American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self",Brand: American Tourister
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue,₹899,Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue,,"Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.",Visit the Safari Store
Lavie Sport Lino M Duffle Wheeler Bag for Travel | 2 Wheel Luggage Bag | Travel Bag with Adjustable Handle,₹749,Lavie Sport Lino M Duffle Wheeler Bag for Travel | 2 Wheel Luggage Bag | Travel Bag with Adjustable Handle,,,Visit the Lavie Sport Store
Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,"₹1,399",Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,,"This Rucksack backpack ensures complete safety to your 17.3 inch laptop with high quality build and a wide range of built-in features, With a Dual Side Pocket In the inside of the bag, featuring protective padding, you can rest assured that the laptop inside it will be well cushioned from any accidents caused when you bump into any surface. As it is made of nylon, can withstand abrasions and is long lasting. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily. A Front Pocket with an Organizer helps you store your small essentials. It also features Reflector Logo, Rain cover and Reflector patch which is highly useful for motorists, cyclists, walking at night. It also features an Earphone Cord Support which very useful for long travelers. The inner material is made of polyester. This backpack is also water-resistant.",Visit the Half Moon Store
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"₹1,399",POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,,Backpack,Visit the POLICE Store
"Amazon Basics Slope Basics Black Anti-theft 15.6 inches Laptop Bag, Office/College Backpack",₹869,"Amazon Basics Slope Basics Black Anti-theft 15.6 inches Laptop Bag, Office/College Backpack",,1 Spacious Padded compartment,Brand: Amazon Basics
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",Visit the Half Moon Store
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),₹699,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),,,Visit the ADISA Store
Gear Cello Classic Anti Theft Faux Leather 20 Ltrs Navy Laptop Backpack (LBPCLSLTH0519),₹987,Gear Cello Classic Anti Theft Faux Leather 20 Ltrs Navy Laptop Backpack (LBPCLSLTH0519),,,Brand: Gear
"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","₹1,799","Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls",,,Visit the Red Lemon Store
ADISA Laptop Backpack 31 Ltrs,₹499,ADISA Laptop Backpack 31 Ltrs,,,Visit the ADISA Store
Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),₹819,Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),,"ASUS BP1504 offers stylish, elegant protection for laptops with displays up to 15.6 inch. Elegant and lightweight Cross-dyed Woven Fabric making for a truly beautiful accessory to any NoteBook laptop.",Visit the ASUS Store
Gear Cross Training 22L Water Resistant Travel Duffle Bag/Gym Bag for Men/Women - Grey Orange,₹468,Gear Cross Training 22L Water Resistant Travel Duffle Bag/Gym Bag for Men/Women - Grey Orange,,One wide-access main compartments with double zippers. Two additional side pockets and one quick access pocket. Easily adjustable shoulder strap. Reinforced grab handle.,Visit the Gear Store
RIGHTCHOICE Quality Stylish Casual Backpack Daily use Unisex Typography College Bags (Boys and Girls),₹259,RIGHTCHOICE Quality Stylish Casual Backpack Daily use Unisex Typography College Bags (Boys and Girls),,"A stylish bag that always looks as good as you do. Comfortable to carry without compromising on style/fashion. It is designed to be convenient, and has safe storage. Makes a standout addition to your collection",Brand: RIGHT CHOICE
"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",₹799,"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",,,Visit the Lunar's Store
"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)","₹1,099","FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)",,,Visit the FATMUG Store
"RNTR® Cosmetic Pouch, Make up Bag for Home & Travel, Toiletry Bag for Cosmetics, Brushes, Accessories Set of 3 - Wash Bag - Light Pink and Black (Pink)",₹489,"RNTR® Cosmetic Pouch, Make up Bag for Home & Travel, Toiletry Bag for Cosmetics, Brushes, Accessories Set of 3 - Wash Bag - Light Pink and Black (Pink)",,,Brand: RNTR
HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,"₹5,255",HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,,,Visit the HAMMONDS FLYCATCHER Store
"TABELITO Casual Laptop Backpack 15.6-inch, 25 LTR Water Repellent",₹549,"TABELITO Casual Laptop Backpack 15.6-inch, 25 LTR Water Repellent",,,Brand: Tabelito
F Gear Blackhawk 40 Ltrs Black Laptop Backpack (3178),"₹1,430",F Gear Blackhawk 40 Ltrs Black Laptop Backpack (3178),,The product will be an excellent pick for you. It ensures an easy maintenance.,Visit the F Gear Store
"STRAUSS Yoga Mat Bag Cover with Shoulder Strap with Pocket for Men & Women, Drawstring and Full Zip,(Multicolor)",₹179,"STRAUSS Yoga Mat Bag Cover with Shoulder Strap with Pocket for Men & Women, Drawstring and Full Zip,(Multicolor)",,,Visit the STRAUSS Store
"Dynotrek 13 14 Upto 15.6"" Inch Laptop Casual Sack-pack Rucksack Travel Backpack With USB Charging Port For Men & Women Waterproof Backpack Suitable for Chromebook DT02SCB",₹799,"Dynotrek 13 14 Upto 15.6"" Inch Laptop Casual Sack-pack Rucksack Travel Backpack With USB Charging Port For Men & Women Waterproof Backpack Suitable for Chromebook DT02SCB",,"Dynotrek Samso Travel Laptop Backpack Size: 30 cm *13 cm *43 cm Weight:0.48 kg Product Advantages：Large capacity with many pockets Convenient USB port design Comfy and sturdy High quality material A perfect gift Made from quality nylon fabric with Two shoulder straps,offers LIGHT-WEIGHT carrying and of force reinforcement,perfects for business traveling, weekend getaways, shopping, professional office work and other outdoor activities. Also, a perfect college high school student backpack for boys,girls,teens,women and men.",Visit the Dynotrek Store
FUR JADEN Vegan Leather 30L 15.6 Inch Laptop Backpack for Men Women for Office Professionals and College Students Brown,₹839,FUR JADEN Vegan Leather 30L 15.6 Inch Laptop Backpack for Men Women for Office Professionals and College Students Brown,,A trendy addition to your accessory collection this season comes in the form of this Backpack,Brand: FUR JADEN
"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",₹599,"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",,,Visit the Safari Store
"Womens Travel Bags, Weekender Carry on for Women, Sports Gym Bag, Workout Duffel Bag, Overnight Shoulder Bag fit 15.6"" Laptop for Women",₹599,"Womens Travel Bags, Weekender Carry on for Women, Sports Gym Bag, Workout Duffel Bag, Overnight Shoulder Bag fit 15.6"" Laptop for Women",,"Specifications:color：Pinksize ：（H*W*T）27x55x18cm / 10.63*21.65*7.09''weight : 0.6kgpink bag: women pink bag can be used as women and girl shoulder bag / messenger bag / gym bag/sport bag/travel bag/duffel bag. 1.Great for Gym or Sport activities: This bag can be used for gym, sports and swimming activities, the space is enough for swimsuits, float and pump. There are many functional pockets so we can easily separate cellphones, keys, wallets, and other valuable small items, the material of this bag is very light and sturdy.2.Great for Travel: You can bring this bag anywhere with you and not have to worry about making space for a bag. It features with a shoulder strap for comfortable lifting and carrying. This size is perfect for airplane, travel, luggage. 3.Water-Resistant Nylon Fabric : This bag is made from Nylon fabric which is water resistance material keeps your stuff dry inside (The zipper part is not water resistant).Notice :due to different measurement methods and tools, the measurement results may have errors. The dimensions are for reference only.",Brand: BJLFS
"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook",₹949,"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook",,,Brand: FUR JADEN
Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack,"₹2,839",Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack,,,Visit the Red Lemon Store
"RNTR® Cosmetic Pouch, Make up Bag for Home & Travel, Toiletry Bag for Cosmetics, Brushes, Accessories Set of 3 - Wash Bag - Light Pink and Black (Pink)",₹484,"RNTR® Cosmetic Pouch, Make up Bag for Home & Travel, Toiletry Bag for Cosmetics, Brushes, Accessories Set of 3 - Wash Bag - Light Pink and Black (Pink)",,,Brand: RNTR
"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",₹949,"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",,,Visit the Safari Store
NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,₹509,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,,,Visit the Nivia Store
Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),₹512,Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),,,Visit the KBBRD Store
COSMUS Men's Sling Bag (Red & Black),₹563,COSMUS Men's Sling Bag (Red & Black),,"Casual and Stylish lightweight Sling Bag for men to carry a Mobile phone, other small gadget, tickets, passport, wallet and important documents handy and secure.Made of Hi-grade PU coated Polyester fabric and it comes in 5 elegant and cool colour combinations to pick one which suits your personality.It has 3 sections in the Bag to keep all your essential items in an organised way. One main compartment which also includes a cushioned pocket for mobile phone or another gadget which needs extra protection, Front zipper pocket is for Easy access handy Items like wallet, tickets, passport, phone etc, also you can keep your valuable documents securely in backside zipper pocket.The shoulder strap is long enough to use the bag as a cross shoulder bag and Strong metal zipper gives its nice look.",Visit the COSMUS Store
"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap",₹700,"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap",,,
"SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover",₹999,"SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover",,"At Spenz Bags, we provide the highest quality backpacks with the most reasonable cost so every customer can find a backpack they actually love to carry. To create products that inspire people to get out and live passionate lives; exploring, creating, and living life in the moment.",Visit the SPENZ BAGS Store
"Frantic Velvet Kids Soft Cartoon Animal Travelling School Bag Soft Plush Backpacks Baby Girls Boys for 2 to 5 Years Baby/Boys/Girls Nursery, Picnic,Preschool",₹309,"Frantic Velvet Kids Soft Cartoon Animal Travelling School Bag Soft Plush Backpacks Baby Girls Boys for 2 to 5 Years Baby/Boys/Girls Nursery, Picnic,Preschool",,"This Attractive School bag is tailored keeping in mind kid’s hectic school work load. It is so spacious, trendy and attractive that your school going children will love to carry. It is not only superior in quality and finish but also very durable and sturdy! - DescriptionThis is a perfect school bag for your school going kids, it keeps all the school stuff safe. This bag is made of durable materials for long lasting. It has 2 compartments. This Bag is Suitable for Age Group 1-5 Years going to Play School or Nursery. Whether Your Toddler or Kid Is Heading Off To School Or Going On Their First Big Adventure, Your Little One Will Love Carrying Their Very Own Backpack. - Perfect For:Preschool, Daycare, Hiking And Day Trips. A Perfect Backpack For Toddlers Headed To Preschool or Daycare. - Features: Include Roomy Main Zipper Pocket, Handle, Adjustable Shoulder Straps. - Specification: Material: VelvetSuit for: 1-5 years old childrenCompartments: 2 - Gift idea:This backpack is very beautiful and perfectly designed for your child.For Your Baby, it's the perfect gift for cuteness, softness and high quality.",Visit the Frantic Store
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Black),"₹1,359",HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Black),,,Visit the HEROZ Store
"BEAUTY GIRLS By HOTSHOT Girls School Bag (15ltr , Navy Blue, 1565)",₹499,"BEAUTY GIRLS By HOTSHOT Girls School Bag (15ltr , Navy Blue, 1565)",,,Visit the BEAUTY GIRLS Store
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),₹249,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),,"DZert Provide Premium quality bags which are non-toxic and made up of soft velvet because our priority is to provide best and high-quality bags/ backpack to your kids.A small bag is ideal for small kids as they can be able to use this bag forSchool OutdoorsTravelling BagCarry BagPicnic BagChildren organize all your essentials for the trip or for any activity. Adjustable strap and enough space to carry things like,SnacksToysLunchboxFruitsSmall booksPencil boxStationery itemsAge Group Suitable for 2 to 5 Years KidsGift this soft, smooth bag/ backpack to your loved one..",Visit the DZert Store
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹929,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",,,Brand: AirCase
Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,₹699,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,,"A super-slim design, trendy looks and durable construction - this stylish 35 L backpack from Half Moon has got everything that will complement your youthful personality. With its spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design Crafted from polyester, this medium backpack is sturdy enough to withstand regular wear and tear gracefully. It features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this bag can be easily adjusted according to your liking. Spacious Featuring one front pocket and three main compartments, all with speciality zippers, this bag offers you enough space to carry your books, files, coins, travel accessories, stationery, keys and mobile accessories. It comes with the Half Moon promise of quality.",Visit the Half Moon Store
Tommy Hilfiger Connor Laptop Backpack,"₹1,649",Tommy Hilfiger Connor Laptop Backpack,,,Visit the Tommy Hilfiger Store
"EUME Virgo 3 Compartment Office and College Bags, Polyester Casual Daypacks, Laptop Backpacks","₹1,199","EUME Virgo 3 Compartment Office and College Bags, Polyester Casual Daypacks, Laptop Backpacks",,,Visit the EUME Store
"PAZZO Alto 40L Casual Backpack - 3 Compartment Travel Backpack, College|School Bag with 1 Year Warranty",₹849,"PAZZO Alto 40L Casual Backpack - 3 Compartment Travel Backpack, College|School Bag with 1 Year Warranty",,,Visit the PAZZO Store
"Sfane Polyester 9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag",₹359,"Sfane Polyester 9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag",,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything. Big Compartment holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.",Visit the Sfane Store
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Black),₹646,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Black),,,Visit the ADISA Store
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),₹646,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),,,Visit the ADISA Store
Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),₹699,Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),,"Half Moon backpack is designed to be used everywhere you can use it as:- college bag(as it has numerous pockets inside), school bag(there is very large space inside the bag that can be used to carry numerous books), travel backpack(the volume of this backpack is 35 litres and that is enough for travelling), laptop bag(as it contains a laptop sleeve). It is navy in colour so that it will not become dirty easily it has padded straps to make it easy to carry. It is fully waterproof to protect your laptop, books etc from water and rain. The material used in this bag is dust-free so, that it can produce your backpack from dust. It has a rain cover which is very useful in the rainy season to protect your backpack from rain. It can be used everywhere as well as by everyone be it menं , womenं , boys and girls.",Visit the Half Moon Store
"Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Free Rain Cover (18 Inch, 34litr) (Black)",₹355,"Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Free Rain Cover (18 Inch, 34litr) (Black)",,"Backpack is designed to be used everywhere you can use it as:- college bag(as it has numerous pockets inside),school bag(there is very large space inside the bag that can be used to carry numerous books),travel backpack(the volume of this backpack is 34 litres and that is enough for travelling),laptop bag(as it contain a laptop sleeve). it has padded straps to make it easy to carry .It is fully waterproof to protect your laptop, books etc from water and rain. The material used in this bag is dust free so, that it can product your backpack from dust. It has a rain cover which is very useful in rainy season to protect your backpack from rain. You should really buy it as it can be used everywhere and IT IS MADE IN INDIA.",Brand: Szeentp
LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,₹499,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,,,Brand: LOOKMUSTER
"POLESTAR Ranker 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",₹669,"POLESTAR Ranker 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",,"RAIN COVER & PREMIUM FABRIC : POLESTAR RANKER”, Stylish and durable laptop backpack for school /college and travel. Easily accommodate 15.6 inch laptop. Size: 46 cm X 32 cm X 22 cm : 32 liters .We are providing a “ FREE RAIN COVER “ inside a bottom zipper pocket , which makes this An all-weather backpack . This “MAKE IN INDIA” Product features 2 large zippered compartments, 1 vertical long zip pocket at front, one laptop partition, 1 water bottle /umbrella pockets and Organizer Pockets inside. Suitable for casual usage, school / college / office n travel.",Visit the POLESTAR Store
"Veneer Medium 20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag",₹998,"Veneer Medium 20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag",,"Veneer presenting new latest stylish design Polyurethane backpack bags. This bag is designed for modern fashion-conscious individuals who desire style along with functionality. This bag is crafted using unique PU fabric which is kind of an artificial leather to make it look elegant for both office and casual use. A perfect pick for daily use, this Polyester Trending Backpack can securely be used to carry mobile phone, cards, cosmetics, umbrella and other daily essential things in a safe, secure and arranged manner. This bag is also perfect for college purpose. Bag Compartments: This stylish backpack contain 1 large main zippered compartment that contain many items of daily uses, you can also use it anywhere for casual uses. This bag is simple yet quite attractive. The beautiful blue colour is eye-catchingly and can help you flaunt your distinguished nature. This bag may look small but it can offer adequate space where you can store your essentials. The easy-to-adjust shoulder straps enables extra comfort and convenience. As for its craftsmanship, it is well-crafted and comes with neat stitching. The bag is suitable for your daily wear, day trips, casual events and outings and you can carry it according to your requirement. Easy to clean dust with soft dry cloth.",Brand: Veneer
Wildcraft 35 Ltrs Casual Backpack (11619-Blue),"₹1,298",Wildcraft 35 Ltrs Casual Backpack (11619-Blue),,"Two compartment for better organisation, side fabric pocket for carrying a bottle, padded back system for better back support, padded shoulder straps for comfort, ease of carrying, quick-grab haul loop, quick-access, flat front pocket to store basic essentials, multi-level organiser for storing accessories.",Brand: Wildcraft
Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),₹699,Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),,"Half Moon backpack is designed to be used everywhere you can use it as:- college bag(as it has numerous pockets inside), school bag(there is very large space inside the bag that can be used to carry numerous books), travel backpack(the volume of this backpack is 35 litres and that is enough for travelling), laptop bag(as it contains a laptop sleeve). It is navy in colour so that it will not become dirty easily it has padded straps to make it easy to carry. It is fully waterproof to protect your laptop, books etc from water and rain. The material used in this bag is dust-free so, that it can produce your backpack from dust. It has a rain cover which is very useful in the rainy season to protect your backpack from rain. It can be used everywhere as well as by everyone be it menं , womenं , boys and girls.",Visit the Half Moon Store
Impulse rucksack bags 60 litres travel bag for men tourist bag for travel backpack for hiking trekking Bag for men camping thames blue bag with 1 Year Warranty,₹999,Impulse rucksack bags 60 litres travel bag for men tourist bag for travel backpack for hiking trekking Bag for men camping thames blue bag with 1 Year Warranty,,,Brand: Impulse
"URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",₹939,"URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",,,Visit the URBAN TRIBE Store
Zipline Unisex Casual Polyester 36 L Blue Backpack School Bag Women Men Boys Girls College Bag,₹843,Zipline Unisex Casual Polyester 36 L Blue Backpack School Bag Women Men Boys Girls College Bag,,"A super-slim design, trendy looks and durable construction - this stylish 36 L backpack from ZIPLINE has got everything that will complement your youthful personality. With its spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design Crafted from polyester, this backpack is sturdy enough to withstand regular wear and tear gracefully. It features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this bag can be easily adjusted according to your liking. Spacious Featuring three main compartments, all with speciality zippers, this bag offers you enough space to carry your books, files, coins, travel accessories, stationery, keys and mobile accessories. It comes with the ZIPLINE promise of quality.",Visit the Zipline Store
"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",₹310,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",,,
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,₹599,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,,,Visit the Half Moon Store
"Wooum Crossbody Sling Bag - Durable Shoulder Bag with Adjustable Strap One Side Bag for Commuting Travel Outdoor Activities Cycling - Sling Bag Travel Hiking Chest Bag Daypack – Colour Black-Grey – (Pack of 1 Bag) - Unisex Cross Body Backpack for Travel, College, Tuition",₹379,"Wooum Crossbody Sling Bag - Durable Shoulder Bag with Adjustable Strap One Side Bag for Commuting Travel Outdoor Activities Cycling - Sling Bag Travel Hiking Chest Bag Daypack – Colour Black-Grey – (Pack of 1 Bag) - Unisex Cross Body Backpack for Travel, College, Tuition",,"Wooum Crossbody Sling Bag - Durable Shoulder Bag with Adjustable Strap One Side Bag for Commuting Travel Outdoor Activities Cycling - Sling Bag Travel Hiking Chest Bag Daypack – Colour Black-Grey – (Pack of 1 Bag) - Unisex Cross Body Backpack for Travel, College, Tuition Brand: Wooum Product Material: Premium Polyester, Lining Fabric, Premium Zippers, Premium PVC Buckle, D-Rings & Grey Mesh Colour: Black-Grey Product Size: (Lx W x H) 7 x 3.5 x 15 inches 18 x 9 x 38 cm. Utility: keep your small items like makeup, tissue, keys, small utensils, daily medicine box, iPad mini, iPhone 7 Plus, power bank, mobile, earphones, pen-drive, flash drive, memory card, external hard disk drive, power cable, adapter, small stationaries, other office utilities, phone, cards, wallet, sport gears, ear-phone case, contact lens case or anything that fits within your palm etc. and perfect for travel, hiking, camping, daily out, school, office, etc. Weight: 280 grams. Perfect Gift: Perfect gift for Friends, Students, Families, Surprising gift, First day school gift, Corporate gift For that person who love to travel or always on the go. Give the gift of convenience, style and practicality. It can be used as waist bag also it can be chest shoulder cross-body bag. Wooum Sling Cross Body Bag is useful for Motorcycle Riding Climbing Camping Running Sport Hiking Hunting Fishing Outdoor sports. Wooum Chest Bag is suitable for men, women, adults & children. VERSATILE POCKETS & COMPARTMENTS: It is a trendy waist pouch with 1 separate zipper pockets of different size for all your needs; the mesh pockets of this side bag can easily hold a small water bottle (300 ml) (6 cm diameter)) or a wallet. Other pockets in this belt bag can conceal your money, mobile, coins, glasses, and other tourist accessories. This stylish bag can used as a waist pack, cross body bag.",Visit the Wooum Store
